host_id,host_name,host_since,host_location,host_response_time,host_is_superhost,host_listings_count
382146507,Lovely,2020-12-29,"Málaga, Spain",within an hour,f,72
11733642,Airgestión,2014-01-28,Spain,within an hour,f,21
13967638,Susanna,2014-04-06,"Málaga, Spain",within a few hours,f,2
4884962,"Esther, Francisco & Sara",2013-01-28,"Andalusia, Spain",within an hour,f,23
413971511,Montana,2021-07-19,"Andalusia, Spain",within an hour,f,22
422798059,Carlos Alberto,2021-09-13,"Málaga, Spain",within an hour,t,3
446668777,Rodo,2022-02-24,"Málaga, Spain",within an hour,f,1
126386697,Lu&Cia,2017-04-18,"Málaga, Spain",within an hour,f,44
399961266,Gestitur,2021-05-04,Unknown,within an hour,f,62
428065882,Maria,2021-10-19,Unknown,Unknown,f,7
79877163,Santi,2016-06-25,"Andalusia, Spain",within an hour,f,2
329266025,Welcome,2020-01-20,"Málaga, Spain",within a few hours,f,52
138864019,Alberto,2017-07-06,"Málaga, Spain",within an hour,f,29
40571478,La Casa De La Alameda,2015-08-05,"Andalusia, Spain",within a day,t,13
269784222,Blanca,2019-06-19,"Málaga, Spain",within an hour,f,3
31649041,Sami Idriss,2015-04-21,"Málaga, Spain",within a day,f,10
33721800,Elsa,2015-05-19,"Málaga, Spain",Unknown,f,1
11224703,Juan,2014-01-12,"Málaga, Spain",within a few hours,f,1
89705945,Antonio.,2016-08-13,"Málaga, Spain",within an hour,f,61
2477923,Caleta Homes,2012-05-27,"Andalucía, Spain",within an hour,f,108
12959608,Mª Carmen,2014-03-09,"Málaga, Spain",within a few hours,f,3
117748581,Fátima,2017-02-23,"Málaga, Spain",within an hour,t,1
2957440,Lucia,2012-07-16,"Andalusia, Spain",within an hour,t,16
78910335,Alberto,2016-06-20,"Málaga, Spain",a few days or more,f,1
23300642,Malaga,2014-11-03,"Andalusia, Spain",within an hour,f,25
577948392,Alejandro,2024-05-16,Unknown,within a few hours,f,1
352514710,Begoña,2020-06-29,Unknown,within a day,f,10
409279835,María Del Mar,2021-06-26,"Andalusia, Spain",within a day,f,1
63385507,Alejandro,2016-03-17,"Málaga, Spain",Unknown,f,1
7082899,MimoRooms,2013-06-24,"Málaga, Spain",within an hour,f,35
79418042,INMálaga,2016-06-23,"Málaga, Spain",within an hour,f,41
433266407,OndaLuz,2021-11-24,Unknown,within an hour,f,21
317065206,María,2019-12-13,"Málaga, Spain",within an hour,f,91
257531397,Elena,2019-04-23,"Málaga, Spain",within an hour,f,1
16135283,Raquel,2014-05-29,"Málaga, Spain",within a few hours,f,4
31088953,Jose Maria,2015-04-12,"Málaga, Spain",within a few hours,f,8
146243868,Hotel Humaina,2017-08-16,"Andalusia, Spain",within an hour,f,4
12762864,Alfonso,2014-03-03,"Málaga, Spain",within a few hours,f,5
92807180,Belen,2016-08-31,Unknown,within an hour,t,7
586249512,Marek,2024-06-28,Unknown,Unknown,f,1
111975119,Arianna,2017-01-17,Unknown,Unknown,f,1
336339051,Fernando,2020-02-15,"Andalusia, Spain",within an hour,Unknown,46
31673943,Inés,2015-04-21,"Málaga, Spain",within an hour,f,2
145604096,Ofelia Y Alejandro,2017-08-12,Unknown,within an hour,f,2
109034785,María Dolores,2016-12-29,Unknown,within a day,f,1
481370951,Mª Begoña,2022-09-28,Unknown,within a few hours,f,24
40570361,Villa Alicia,2015-08-05,Unknown,within a day,f,15
455744007,Carlos,2022-04-24,Unknown,within an hour,t,1
154343892,Ibra,2017-10-12,"Málaga, Spain",within an hour,t,4
250112582,HomeAbroad Apartments,2019-03-20,"Andalusia, Spain",within an hour,f,39
567012379,Jose Maria,2024-03-14,Unknown,within an hour,f,2
131877957,Clara,2017-05-25,"Málaga, Spain",within an hour,t,10
15338230,Francisco Javier,2014-05-10,"Málaga, Spain",within an hour,f,2
19957169,Comam,2014-08-13,"Málaga, Spain",within an hour,t,7
223186286,Pietro,2018-10-29,"Málaga, Spain",within an hour,f,6
3298879,Málaga De Vacaciones,2012-08-18,"Málaga, Spain",within an hour,f,49
22947028,Jose Ignacio,2014-10-25,"Málaga, Spain",within an hour,f,4
16899603,Sebastian,2014-06-17,"Málaga, Spain",within a few hours,t,2
504611516,Iñaki,2023-03-09,"Azpeitia, Spain",within an hour,f,1
14451033,Francisco,2018-02-10,"San Diego, CA",Unknown,f,1
157524315,ÁngelayRaúl,2017-11-05,"Málaga, Spain",within an hour,f,10
529580749,Manuel,2023-08-03,Unknown,within an hour,t,5
8342062,Victor,2013-08-23,"Andalusia, Spain",within an hour,f,3
80225433,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,f,239
