reviews_id,listing_id,number_of_reviews,reviews_lastyear,reviews_last30days,review_scores_rating
0,638401413782978130,100,58,4,4.97
1,593807685540946920,12,4,1,5.0
2,689209787389564671,11,6,0,4.73
3,1169368107504912867,0,0,0,Unknown
4,53218911,17,4,0,3.47
5,52295523,122,64,9,4.89
6,1105849600091052946,18,18,3,4.83
7,31748629,26,6,1,4.62
8,1151936773590880075,3,3,1,5.0
9,701861352072019656,1,1,0,5.0
10,51874830,12,5,0,5.0
11,1184612577583664481,0,0,0,Unknown
12,1107837608951574164,0,0,0,Unknown
13,52250461,80,33,1,4.59
14,715758596280577318,4,3,0,5.0
15,53610384,48,9,0,4.83
16,46730603,2,0,0,4.5
17,1173922046754917329,0,0,0,Unknown
18,678725895653103548,6,3,0,4.17
19,1036695641247278732,23,23,1,4.65
20,567197678880468536,8,2,0,4.88
21,13445715,152,23,4,4.89
22,1067777679786845074,10,10,3,4.9
23,24249356,104,12,3,4.67
24,32688782,0,0,0,Unknown
25,43591775,0,0,0,Unknown
26,1158081830679650901,0,0,0,Unknown
27,44010395,0,0,0,Unknown
28,50653676,10,2,0,4.8
29,1175515871308659624,0,0,0,Unknown
30,778060321649764749,74,45,2,4.73
31,867253204580770384,0,0,0,Unknown
32,904758878213523652,0,0,0,Unknown
33,998396780561943978,2,2,0,4.5
34,1144892986154338882,0,0,0,Unknown
35,1002054874046796096,1,1,0,1.0
36,893956976040959311,4,3,0,4.0
37,11257848,46,11,2,4.72
38,50783348,0,0,0,Unknown
39,10964253,24,0,0,4.21
40,666551949700076115,10,2,0,4.7
41,1189033601427055682,0,0,0,Unknown
42,858501303932825096,0,0,0,Unknown
43,48734262,11,1,0,4.36
44,1151483405717060484,0,0,0,Unknown
45,965878325017942935,15,15,2,4.87
46,1152716033478269499,0,0,0,Unknown
47,1075295844736119630,0,0,0,Unknown
48,663620721918739405,3,0,0,4.0
49,12341217,103,15,1,4.65
50,999138896563553972,0,0,0,Unknown
51,612042486472078354,40,18,1,4.95
52,876481767821022208,40,35,4,4.8
53,695050975333782507,0,0,0,Unknown
54,1115674190031235701,1,1,0,5.0
55,817126553731696180,41,25,1,4.76
56,752523731216927771,12,10,2,4.58
57,49374182,75,19,0,4.89
58,1139622492685125203,3,3,1,5.0
59,892506201848565033,48,46,8,4.69
60,25481677,9,6,0,4.33
61,41130469,68,31,4,4.9
62,52470425,60,26,3,4.97
63,1182487044391392198,0,0,0,Unknown
64,693397692081572425,0,0,0,Unknown
65,43879707,46,11,2,4.67
66,949657451531557083,36,36,6,4.75
67,47867321,24,15,1,4.67
68,689742650670873710,41,27,0,4.73
69,979814906363322164,2,2,0,5.0
70,1534533,126,20,2,4.83
71,1139170852501266981,0,0,0,Unknown
72,23684885,58,3,1,4.66
73,989298853890796741,16,16,3,4.94
74,34811272,10,1,0,5.0
75,53445185,16,8,0,4.56
76,1175117720119795164,0,0,0,Unknown
77,1117204351074342834,15,15,5,4.27
78,52623897,61,24,3,4.61
79,50774156,10,4,2,5.0
80,1121062266555409019,1,1,0,5.0
81,917834953180520149,2,2,2,5.0
82,54240622,26,4,1,4.77
83,49586133,2,0,0,4.5
84,863648319723507428,2,0,0,3.0
85,806491225145420408,13,9,2,4.85
86,23253864,3,1,0,4.33
87,573740983992372502,37,13,2,4.97
88,51677450,14,6,0,4.86
89,1136996875043906139,0,0,0,Unknown
90,963127745283910650,53,53,2,4.89
91,924610580098855355,1,1,0,5.0
92,37874750,0,0,0,Unknown
93,53883996,41,30,5,4.54
94,798602648821584990,169,109,6,4.6
95,47813038,8,0,0,3.25
96,43873590,3,1,0,3.33
97,569237001005836026,20,14,0,4.75
98,688839237137388158,105,68,3,4.4
99,927537298550479176,4,4,0,4.0
